month,property_type,duration,sales_volume,median_price,total_revenue
1997-12-01,S,L,2248,52000.0,127087231.0
1997-12-01,T,F,25747,50000.0,1620860655.0
1997-12-01,T,L,2706,36995.0,127137875.0
1998-01-01,D,F,14158,100000.0,1804525878.0
1998-01-01,D,L,538,80000.0,48298393.0
1998-01-01,F,F,345,52000.0,27687135.0
1998-01-01,F,L,10514,56000.0,807734780.0
1998-01-01,S,F,16977,59950.0,1237908528.0
1998-01-01,S,L,1433,52000.0,84358868.0
1998-01-01,T,F,18898,50000.0,1217894955.0
1998-01-01,T,L,1835,36000.0,91936690.0
1998-02-01,D,F,14895,100000.0,1851015037.0
1998-02-01,D,L,569,82000.0,52776355.0
1998-02-01,F,F,345,52000.0,41966630.0
1998-02-01,F,L,10620,55500.0,787440271.0
1998-02-01,S,F,17282,59000.0,1223746614.0
1998-02-01,S,L,1526,51475.0,84789429.0
1998-02-01,T,F,19293,49950.0,1201295698.0
1998-02-01,T,L,1929,35000.0,91829465.0
1998-03-01,D,F,18563,99995.0,2349005455.0
1998-03-01,D,L,677,81500.0,63983658.0
1998-03-01,F,F,449,52200.0,39296444.0
1998-03-01,F,L,12478,56500.0,983677967.0
1998-03-01,S,F,21540,59500.0,1546545085.0
1998-03-01,S,L,1868,52000.0,102238192.0
1998-03-01,T,F,23676,50000.0,1517551665.0
1998-03-01,T,L,2397,35000.0,119041298.0
1998-04-01,D,F,19812,103000.0,2538517086.0
1998-04-01,D,L,801,82500.0,79837001.0
1998-04-01,F,F,441,55000.0,33359937.0
1998-04-01,F,L,12750,58000.0,1016493455.0
1998-04-01,S,F,22359,60000.0,1650009057.0
1998-04-01,S,L,2033,52500.0,113772928.0
1998-04-01,T,F,23865,52000.0,1578044544.0
1998-04-01,T,L,2405,36000.0,116894457.0
1998-05-01,D,F,21631,104500.0,2747727568.0
1998-05-01,D,L,833,83000.0,81504486.0
1998-05-01,F,F,464,53250.0,35172086.0
1998-05-01,F,L,13890,58972.5,1105870732.0
1998-05-01,S,F,24552,60000.0,1816923736.0
1998-05-01,S,L,2222,53000.0,127459531.0
1998-05-01,T,F,25529,52000.0,1672824285.0
1998-05-01,T,L,2570,37000.0,123330635.0
1998-06-01,D,F,23888,105000.0,3075781156.0
