month,county,sales_volume,total_revenue,median_price
1995-02-01,CAMBRIDGESHIRE,740,49577293.0,57500.0
1995-02-01,CARDIFF,287,16212921.0,50000.0
1995-02-01,CARMARTHENSHIRE,4,98500.0,18250.0
1995-02-01,CENTRAL BEDFORDSHIRE,1,168000.0,168000.0
1995-02-01,CEREDIGION,27,1492500.0,47500.0
1995-02-01,CHESHIRE,624,43199076.0,58000.0
1995-02-01,CHESHIRE EAST,2,96000.0,48000.0
1995-02-01,CHESHIRE WEST AND CHESTER,5,169245.0,35000.0
1995-02-01,CITY OF BRISTOL,6,417000.0,40000.0
1995-02-01,CITY OF DERBY,2,31500.0,15750.0
1995-02-01,CITY OF KINGSTON UPON HULL,4,169500.0,31000.0
1995-02-01,CITY OF NOTTINGHAM,5,343500.0,75000.0
1995-02-01,CITY OF PLYMOUTH,3,228800.0,58000.0
1995-02-01,CLEVELAND,107,5008843.0,43000.0
1995-02-01,CLWYD,330,16949157.0,44950.0
1995-02-01,CONWY,4,196500.0,35250.0
1995-02-01,CORNWALL,535,29350248.0,48000.0
1995-02-01,COUNTY DURHAM,10,179061.0,4250.0
1995-02-01,CUMBRIA,396,20942480.0,45000.0
1995-02-01,DARLINGTON,96,4980520.0,45000.0
1995-02-01,DERBYSHIRE,957,48884921.0,42750.0
1995-02-01,DEVON,980,60379663.0,52250.0
1995-02-01,DORSET,427,31766693.0,63000.0
1995-02-01,DURHAM,367,15689954.0,36500.0
1995-02-01,DYFED,162,7031015.0,40747.5
1995-02-01,EAST RIDING OF YORKSHIRE,7,524595.0,60000.0
1995-02-01,EAST SUSSEX,901,56882247.0,53250.0
1995-02-01,ESSEX,1541,111394716.0,59950.0
1995-02-01,FLINTSHIRE,1,30000.0,30000.0
1995-02-01,GLOUCESTERSHIRE,567,38394703.0,54200.0
1995-02-01,GREATER LONDON,7010,661633575.0,71000.0
1995-02-01,GREATER MANCHESTER,2234,111120316.0,43000.0
1995-02-01,GWENT,118,6708945.0,47375.0
1995-02-01,GWYNEDD,173,7846573.0,42500.0
1995-02-01,HALTON,74,3303862.0,41000.0
1995-02-01,HAMPSHIRE,1370,106694207.0,65000.0
1995-02-01,HARTLEPOOL,91,3647760.0,35000.0
1995-02-01,HEREFORD AND WORCESTER,155,9539768.0,54995.0
1995-02-01,HEREFORDSHIRE,7,261400.0,42500.0
1995-02-01,HERTFORDSHIRE,1086,98672950.0,73000.0
1995-02-01,HUMBERSIDE,882,41332703.0,40500.0
1995-02-01,ISLE OF ANGLESEY,1,35500.0,35500.0
1995-02-01,ISLE OF WIGHT,182,9614015.0,47000.0
1995-02-01,ISLES OF SCILLY,2,172500.0,86250.0
1995-02-01,KENT,1565,100931368.0,53995.0
1995-02-01,LANCASHIRE,1319,64872825.0,44000.0
1995-02-01,LEICESTER,243,11519026.0,39000.0
1995-02-01,LEICESTERSHIRE,615,37211126.0,50000.0
1995-02-01,LINCOLNSHIRE,731,36356056.0,44950.0
1995-02-01,LUTON,184,9082340.0,47500.0
1995-02-01,MEDWAY,2,133000.0,66500.0
1995-02-01,MERSEYSIDE,1267,58365520.0,41495.0
1995-02-01,MERTHYR TYDFIL,50,1879620.0,30375.0
1995-02-01,MID GLAMORGAN,358,14985276.0,37500.0
1995-02-01,MIDDLESBROUGH,100,4495684.0,37975.0
1995-02-01,MILTON KEYNES,259,14642262.0,49000.0
1995-02-01,MONMOUTHSHIRE,2,177500.0,88750.0
1995-02-01,NEATH PORT TALBOT,5,272895.0,45995.0
1995-02-01,NEWPORT,115,5603025.0,44500.0
1995-02-01,NORFOLK,845,45684496.0,47000.0
1995-02-01,NORTH EAST LINCOLNSHIRE,3,166950.0,57950.0
1995-02-01,NORTH LINCOLNSHIRE,1,130000.0,130000.0
1995-02-01,NORTH SOMERSET,3,222000.0,75000.0
1995-02-01,NORTH YORKSHIRE,640,44780305.0,59000.0
1995-02-01,NORTHAMPTONSHIRE,778,44016072.0,45000.0
1995-02-01,NORTHUMBERLAND,285,16934760.0,49000.0
1995-02-01,NOTTINGHAMSHIRE,914,45879797.0,44000.0
1995-02-01,OXFORDSHIRE,660,56921187.0,71000.0
1995-02-01,PEMBROKESHIRE,2,162500.0,81250.0
1995-02-01,POOLE,188,16072651.0,63250.0
1995-02-01,PORTSMOUTH,191,10013375.0,48000.0
1995-02-01,POWYS,82,4240295.0,45000.0
1995-02-01,READING,163,11738480.0,58000.0
1995-02-01,RHONDDA CYNON TAFF,4,52760.0,4800.0
1995-02-01,RUTLAND,22,1400495.0,55500.0
1995-02-01,SHROPSHIRE,440,27020517.0,52000.0
1995-02-01,SLOUGH,102,6274284.0,57500.0
1995-02-01,SOMERSET,497,30933289.0,50000.0
1995-02-01,SOUTH GLAMORGAN,115,6480101.0,46500.0
1995-02-01,SOUTH YORKSHIRE,893,39847861.0,39000.0
1995-02-01,SOUTHAMPTON,239,12373864.0,48000.0
1995-02-01,SOUTHEND-ON-SEA,225,12673836.0,46000.0
1995-02-01,STAFFORDSHIRE,741,40509318.0,47000.0
1995-02-01,STOCKTON-ON-TEES,126,6275146.0,43950.0
1995-02-01,STOKE-ON-TRENT,268,9897797.0,34000.0
1995-02-01,SUFFOLK,729,41742161.0,48000.0
1995-02-01,SURREY,1155,128315181.0,85000.0
1995-02-01,SWANSEA,130,6155899.0,43997.5
1995-02-01,THAMESDOWN,199,11277553.0,49995.0
1995-02-01,THE VALE OF GLAMORGAN,2,3050.0,1525.0
1995-02-01,THURROCK,151,8322911.0,52000.0
1995-02-01,TORBAY,175,11672313.0,52500.0
1995-02-01,TORFAEN,49,2210180.0,40000.0
1995-02-01,TYNE AND WEAR,847,40567890.0,42000.0
1995-02-01,WARRINGTON,182,10927690.0,49975.0
1995-02-01,WARWICKSHIRE,514,33051754.0,54000.0
1995-02-01,WEST GLAMORGAN,119,5014205.0,41000.0
1995-02-01,WEST MIDLANDS,1998,105879028.0,45475.0
1995-02-01,WEST SUSSEX,955,70684345.0,60000.0
1995-02-01,WEST YORKSHIRE,1870,95017631.0,43000.0
1995-02-01,WILTSHIRE,538,37482226.0,59995.0
1995-02-01,WINDSOR AND MAIDENHEAD,131,14439280.0,87000.0
1995-02-01,WOKINGHAM,127,11626664.0,77000.0
1995-02-01,WORCESTERSHIRE,579,38347799.0,57000.0
1995-02-01,WREKIN,2,800425.0,400212.5
1995-02-01,WREXHAM,2,152600.0,76300.0
1995-02-01,YORK,113,6538502.0,48950.0
1995-03-01,AVON,1351,85043653.0,52750.0
1995-03-01,BATH AND NORTH EAST SOMERSET,6,622000.0,81500.0
1995-03-01,BEDFORD,1,127500.0,127500.0
1995-03-01,BEDFORDSHIRE,759,47570737.0,53000.0
1995-03-01,BERKSHIRE,224,18124609.0,69975.0
1995-03-01,BLACKBURN WITH DARWEN,4,90000.0,12500.0
1995-03-01,BLACKPOOL,246,11261362.0,41500.0
1995-03-01,BLAENAU GWENT,53,1745800.0,27000.0
1995-03-01,BOURNEMOUTH,301,18159988.0,54000.0
1995-03-01,BRACKNELL FOREST,224,19633930.0,75000.0
1995-03-01,BRIGHTON AND HOVE,16,962100.0,47500.0
1995-03-01,BUCKINGHAMSHIRE,687,71772174.0,81000.0
1995-03-01,CAERPHILLY,7,416845.0,60000.0
1995-03-01,CAMBRIDGESHIRE,1019,67202953.0,56000.0
1995-03-01,CARDIFF,400,21938350.0,49475.0
1995-03-01,CARMARTHENSHIRE,7,172987.0,20000.0
1995-03-01,CENTRAL BEDFORDSHIRE,2,63000.0,31500.0
1995-03-01,CEREDIGION,68,3414400.0,47750.0
1995-03-01,CHESHIRE,824,57949550.0,57625.0
1995-03-01,CHESHIRE EAST,7,658336.0,60000.0
1995-03-01,CHESHIRE WEST AND CHESTER,2,168000.0,84000.0
1995-03-01,CITY OF BRISTOL,12,1220171.0,57350.0
1995-03-01,CITY OF DERBY,3,189500.0,45500.0
1995-03-01,CITY OF KINGSTON UPON HULL,9,354700.0,39450.0
1995-03-01,CITY OF NOTTINGHAM,5,222456.0,47000.0
1995-03-01,CITY OF PETERBOROUGH,2,150000.0,75000.0
1995-03-01,CITY OF PLYMOUTH,4,147000.0,44500.0
1995-03-01,CLEVELAND,167,7707630.0,43500.0
1995-03-01,CLWYD,475,24229737.0,44500.0
1995-03-01,CONWY,2,159950.0,79975.0
1995-03-01,CORNWALL,735,41331159.0,49000.0
1995-03-01,COUNTY DURHAM,11,438750.0,30000.0
1995-03-01,CUMBRIA,643,34803881.0,46500.0
1995-03-01,DARLINGTON,140,7270459.0,45950.0
1995-03-01,DERBYSHIRE,1279,65465959.0,43000.0
1995-03-01,DEVON,1301,77780542.0,52000.0
1995-03-01,DORSET,645,46540746.0,62000.0
1995-03-01,DURHAM,623,28326456.0,38500.0
1995-03-01,DYFED,251,10576629.0,39000.0
1995-03-01,EAST RIDING OF YORKSHIRE,10,814450.0,76725.0
1995-03-01,EAST SUSSEX,1234,77490904.0,52000.0
1995-03-01,ESSEX,2107,150039831.0,59500.0
1995-03-01,FLINTSHIRE,6,458300.0,53650.0
1995-03-01,GLOUCESTERSHIRE,805,54734951.0,56250.0
1995-03-01,GREATER LONDON,9844,932648213.0,71000.0
1995-03-01,GREATER MANCHESTER,3204,156991674.0,42500.0
1995-03-01,GWENT,167,9840455.0,51550.0
1995-03-01,GWYNEDD,257,11912886.0,42000.0
1995-03-01,HALTON,130,6866364.0,49975.0
1995-03-01,HAMPSHIRE,1921,153886080.0,65000.0
1995-03-01,HARTLEPOOL,120,4758460.0,32250.0
1995-03-01,HEREFORD AND WORCESTER,207,13753864.0,53500.0
1995-03-01,HEREFORDSHIRE,6,409500.0,49500.0
1995-03-01,HERTFORDSHIRE,1580,139380696.0,71747.5
1995-03-01,HUMBERSIDE,1119,51699687.0,40000.0
1995-03-01,ISLE OF WIGHT,240,13169422.0,48250.0
1995-03-01,KENT,2223,150726583.0,55500.0
1995-03-01,LANCASHIRE,1683,80634325.0,43000.0
1995-03-01,LEICESTER,317,14286544.0,40000.0
1995-03-01,LEICESTERSHIRE,966,59391722.0,49950.0
1995-03-01,LINCOLNSHIRE,971,47534067.0,43500.0
1995-03-01,LUTON,267,12684171.0,44000.0
1995-03-01,MEDWAY,2,274333.0,137166.5
