district,county,sales,rnk,share,cum_share
AMBER VALLEY,DERBYSHIRE,50560,183,0.0022481754473273304,0.6764741690154824
EAST HAMPSHIRE,HAMPSHIRE,50358,184,0.0022391934172569165,0.6787133624327393
SHEPWAY,KENT,49894,185,0.0022185614273922036,0.6809319238601315
ROTHER,EAST SUSSEX,49672,186,0.002208690087413828,0.6831406139475453
TUNBRIDGE WELLS,KENT,49491,187,0.002200641832746774,0.685341255780292
NUNEATON AND BEDWORTH,WARWICKSHIRE,49326,188,0.0021933050260060896,0.6875345608062982
MACCLESFIELD,CHESHIRE,49257,189,0.0021902369068236218,0.6897247977131218
MENDIP,SOMERSET,49241,190,0.002189525458897252,0.6919143231720191
RUSHCLIFFE,NOTTINGHAMSHIRE,49224,191,0.002188769545475485,0.6941030927174945
MIDDLESBROUGH,MIDDLESBROUGH,49014,192,0.0021794317914418863,0.6962825245089365
STROUD,GLOUCESTERSHIRE,48915,193,0.0021750297073974754,0.6984575542163339
WYCHAVON,WORCESTERSHIRE,48891,194,0.002173962535507921,0.7006315167518418
WOKING,SURREY,48882,195,0.0021735623460493385,0.7028050790978911
VALE OF WHITE HORSE,OXFORDSHIRE,48863,196,0.002172717501636775,0.704977796599528
TONBRIDGE AND MALLING,KENT,48778,197,0.0021689379345279374,0.7071467345340559
WINCHESTER,HAMPSHIRE,48734,198,0.0021669814527304214,0.7093137159867863
HAVANT,HAMPSHIRE,48596,199,0.002160845214365485,0.7114745612011517
WORCESTER,WORCESTERSHIRE,48460,200,0.0021547979069913453,0.7136293591081431
WEST DORSET,DORSET,48408,201,0.0021524857012306447,0.7157818448093738
ST EDMUNDSBURY,SUFFOLK,48397,202,0.0021519965807812657,0.717933841390155
FLINTSHIRE,FLINTSHIRE,48360,203,0.0021503513574515367,0.7200841927476066
BLACKBURN WITH DARWEN,BLACKBURN WITH DARWEN,48317,204,0.002148439341149419,0.722232632088756
HASTINGS,EAST SUSSEX,48314,205,0.0021483059446632245,0.7243809380334192
SOUTH LAKELAND,CUMBRIA,48280,206,0.0021467941178196894,0.7265277321512389
KETTERING,NORTHAMPTONSHIRE,48170,207,0.0021419029133259,0.7286696350645648
ASHFIELD,NOTTINGHAMSHIRE,47979,208,0.002133410003704865,0.7308030450682697
HINCKLEY AND BOSWORTH,LEICESTERSHIRE,47904,209,0.0021300750915500084,0.7329331201598197
BRIDGEND,BRIDGEND,47647,210,0.0021186474592327,0.7350517676190523
NEWARK AND SHERWOOD,NOTTINGHAMSHIRE,47599,211,0.0021165131154535916,0.7371682807345059
GEDLING,NOTTINGHAMSHIRE,47294,212,0.0021029511393571747,0.7392712318738631
EREWASH,DERBYSHIRE,47201,213,0.0020988158482851526,0.7413700477221483
WYRE,LANCASHIRE,47099,214,0.0020942803677545477,0.7434643280899028
DOVER,KENT,46668,215,0.002075115739237972,0.7455394438291408
REDCAR AND CLEVELAND,REDCAR AND CLEVELAND,46654,216,0.0020744932223023984,0.7476139370514432
DARLINGTON,DARLINGTON,46539,217,0.0020693796903316184,0.7496833167417748
OXFORD,OXFORDSHIRE,46480,218,0.0020667562261031313,0.751750072967878
LEWES,EAST SUSSEX,46243,219,0.0020562179036937842,0.7538062908715717
FENLAND,CAMBRIDGESHIRE,46181,220,0.002053461042979103,0.7558597519145508
CONWY,CONWY,46076,221,0.0020487921659623036,0.7579085440805131
EAST STAFFORDSHIRE,STAFFORDSHIRE,45794,222,0.002036252896260043,0.7599447969767732
SOUTH TYNESIDE,TYNE AND WEAR,45754,223,0.0020344742764441194,0.7619792712532173
SOUTH RIBBLE,LANCASHIRE,45432,224,0.002020156386925935,0.7639994276401433
BURNLEY,LANCASHIRE,45112,225,0.002005927428398547,0.7660053550685418
WEST OXFORDSHIRE,OXFORDSHIRE,44953,226,0.001998857414630251,0.7680042124831721
CARLISLE,CUMBRIA,44729,227,0.001988897143661079,0.7699931096268331
EAST NORTHAMPTONSHIRE,NORTHAMPTONSHIRE,44658,228,0.001985740093487815,0.7719788497203209
CHORLEY,LANCASHIRE,44582,229,0.00198236071583756,0.7739612104361585
MID BEDFORDSHIRE,BEDFORDSHIRE,43895,230,0.0019518129204990737,0.7759130233566576
NEATH PORT TALBOT,NEATH PORT TALBOT,43787,231,0.00194701064699608,0.7778600340036537
LINCOLN,LINCOLNSHIRE,43741,232,0.001944965234207768,0.7798049992378614
RUGBY,WARWICKSHIRE,43698,233,0.0019430532179056503,0.7817480524557671
HART,HAMPSHIRE,43662,234,0.0019414524600713191,0.7836895049158383
EAST DORSET,DORSET,43519,235,0.0019350938942293925,0.7856245988100677
BROXTOWE,NOTTINGHAMSHIRE,43482,236,0.0019334486708996632,0.7875580474809675
