month,property_type,is_new_build,sales_volume,median_price,total_revenue
1996-11-01,D,1,5357,94950.0,577754549.0
1996-11-01,F,0,12033,47000.0,746298570.0
1996-11-01,F,1,1941,59950.0,158807892.0
1996-11-01,S,0,27448,55000.0,1726293612.0
1996-11-01,S,1,2359,55950.0,147253255.0
1996-11-01,T,0,28242,44250.0,1522431730.0
1996-11-01,T,1,1914,58500.0,130799461.0
1996-12-01,D,0,17827,89000.0,1945236058.0
1996-12-01,D,1,6267,96500.0,688647369.0
1996-12-01,F,0,11468,48500.0,736428852.0
1996-12-01,F,1,2034,61497.5,166694402.0
1996-12-01,S,0,24040,55000.0,1532546048.0
1996-12-01,S,1,2667,57500.0,168152675.0
1996-12-01,T,0,25292,44950.0,1393579773.0
1996-12-01,T,1,2093,59950.0,146020064.0
1997-01-01,D,0,13910,90000.0,1591783888.0
1997-01-01,D,1,3035,97500.0,343005124.0
1997-01-01,F,0,9725,48000.0,641772627.0
1997-01-01,F,1,1307,60000.0,109483813.0
1997-01-01,S,0,19135,55500.0,1244710480.0
1997-01-01,S,1,1357,56500.0,85632314.0
1997-01-01,T,0,21061,44500.0,1179159409.0
1997-01-01,T,1,1187,57500.0,80378028.0
1997-02-01,D,0,13195,90000.0,1467385637.0
1997-02-01,D,1,3942,97950.0,439126401.0
1997-02-01,F,0,9567,48000.0,625904350.0
1997-02-01,F,1,1448,62160.0,128035755.0
1997-02-01,S,0,19015,55345.0,1210768029.0
1997-02-01,S,1,1647,56995.0,104944360.0
1997-02-01,T,0,20133,44500.0,1097311259.0
1997-02-01,T,1,1403,56750.0,93526989.0
1997-03-01,D,0,14976,88000.0,1664877463.0
1997-03-01,D,1,4566,96972.5,511580804.0
1997-03-01,F,0,10583,48500.0,702316961.0
1997-03-01,F,1,1676,62000.0,143161784.0
1997-03-01,O,0,1,200.0,200.0
1997-03-01,S,0,21788,55000.0,1383713706.0
1997-03-01,S,1,2160,57000.0,135453660.0
1997-03-01,T,0,24055,45000.0,1309384068.0
1997-03-01,T,1,1567,58950.0,113003133.0
1997-04-01,D,0,16203,92500.0,1881845383.0
1997-04-01,D,1,4235,99000.0,481415449.0
1997-04-01,F,0,11284,49950.0,768996881.0
1997-04-01,F,1,1582,65625.0,139394485.0
1997-04-01,S,0,22466,57000.0,1507904639.0
1997-04-01,S,1,1896,56950.0,118466663.0
1997-04-01,T,0,24458,46000.0,1390428929.0
1997-04-01,T,1,1439,59950.0,111848866.0
1997-05-01,D,0,19428,92000.0,2234482245.0
1997-05-01,D,1,5514,98475.0,622830619.0
1997-05-01,F,0,12481,50000.0,844615979.0
1997-05-01,F,1,1767,65000.0,164539577.0
1997-05-01,S,0,26203,57500.0,1751390238.0
1997-05-01,S,1,2380,59000.0,156191741.0
1997-05-01,T,0,27333,46000.0,1571677639.0
1997-05-01,T,1,1825,59995.0,133888897.0
1997-06-01,D,0,19678,94500.0,2324609405.0
1997-06-01,D,1,6621,99000.0,749861274.0
1997-06-01,F,0,13190,51500.0,939578933.0
1997-06-01,F,1,1881,69995.0,185428296.0
1997-06-01,O,0,4,3138475.0,12523950.0
1997-06-01,S,0,26417,57500.0,1784216621.0
1997-06-01,S,1,2931,58495.0,190847019.0
1997-06-01,T,0,28116,47000.0,1651895838.0
1997-06-01,T,1,2134,59950.0,160224904.0
1997-07-01,D,0,23103,98000.0,2840157955.0
1997-07-01,D,1,4643,96000.0,529192612.0
1997-07-01,F,0,14637,52000.0,1033451301.0
1997-07-01,F,1,1820,70950.0,181809884.0
1997-07-01,S,0,29541,59000.0,2096185393.0
1997-07-01,S,1,2028,58472.5,136802643.0
1997-07-01,T,0,31472,48000.0,1929956092.0
1997-07-01,T,1,1496,59995.0,117559442.0
1997-08-01,D,0,22013,98000.0,2712293689.0
1997-08-01,D,1,5133,99950.0,594576612.0
1997-08-01,F,0,13988,52000.0,955063889.0
1997-08-01,F,1,1781,72600.0,173720722.0
1997-08-01,S,0,28331,59000.0,1984830872.0
1997-08-01,S,1,2178,58500.0,141948877.0
1997-08-01,T,0,29756,47725.0,1770515398.0
1997-08-01,T,1,1527,59995.0,112572409.0
1997-09-01,D,0,19148,97500.0,2390758144.0
1997-09-01,D,1,4595,98950.0,524916349.0
1997-09-01,F,0,13374,53000.0,962399708.0
1997-09-01,F,1,1660,74972.5,176486389.0
1997-09-01,S,0,25223,59000.0,1772923039.0
1997-09-01,S,1,2020,58500.0,135218667.0
1997-09-01,T,0,27462,47500.0,1661556454.0
1997-09-01,T,1,1487,61000.0,110856466.0
1997-10-01,D,0,20110,95000.0,2446862107.0
1997-10-01,D,1,5105,99950.0,590240125.0
1997-10-01,F,0,14217,52520.0,985385641.0
1997-10-01,F,1,1731,73000.0,164062205.0
1997-10-01,S,0,27471,58000.0,1892867667.0
1997-10-01,S,1,2119,59300.0,143752910.0
1997-10-01,T,0,29508,47000.0,1756486571.0
1997-10-01,T,1,1540,61950.0,117231999.0
1997-11-01,D,0,16314,95500.0,1973795493.0
1997-11-01,D,1,4808,98995.0,554123768.0
1997-11-01,F,0,12071,53000.0,852633157.0
1997-11-01,F,1,1602,72500.0,147365287.0
