feature,coef,abs_coef
cat__county_SOUTH YORKSHIRE,-0.11612290175362697,0.11612290175362697
cat__district_CHILTERN,0.11606503135115619,0.11606503135115619
cat__district_SOUTH NORTHAMPTONSHIRE,0.11570295427797615,0.11570295427797615
cat__district_TYNEDALE,0.11441775309821907,0.11441775309821907
cat__district_SOUTH CAMBRIDGESHIRE,0.11437771485199931,0.11437771485199931
cat__district_SUTTON,-0.11433205909470612,0.11433205909470612
cat__district_WEST BERKSHIRE,0.11226883771510178,0.11226883771510178
cat__county_WEST BERKSHIRE,0.11219474214511035,0.11219474214511035
cat__county_HARTLEPOOL,-0.11215717840486814,0.11215717840486814
cat__district_HARTLEPOOL,-0.11215717840486814,0.11215717840486814
cat__county_DURHAM,-0.11161319759445765,0.11161319759445765
