county,district,n_sales,median_price,avg_price,iqr_price,new_build_rate,freehold_rate,share_flat,share_semi,share_detached,share_terraced,share_other,district_segment
EAST SUSSEX,HOVE,5123,53000.0,61794.47550263518,36050.0,0.06773374975600234,0.4895569002537576,0.4979504196759711,0.20593402303337888,0.0907671286355651,0.2053484286550849,0.0,0
GREATER LONDON,HILLINGDON,98636,191000.0,235176.378046555,158950.0,0.06606107303621396,0.6876799545804777,0.2993329007664544,0.33250537329169877,0.11240317936655987,0.2520682103897157,0.003690336185571191,0
WEST SUSSEX,CRAWLEY,41736,153950.0,175956.805515622,120000.0,0.10257331799884992,0.7784406747172704,0.21564117308798159,0.19458021851638874,0.15070921985815602,0.4355472493770366,0.0035221391604370327,0
CHESHIRE,MACCLESFIELD,49257,130000.0,176120.63353432,133500.0,0.08140974886818117,0.6448626591144406,0.12298759567168119,0.25868404490732283,0.31739651217085896,0.30093184725013705,0.0,0
SOMERSET,SEDGEMOOR,52762,127950.0,149543.4939918881,108000.0,0.12245555513437702,0.8956635457336719,0.09343845949736553,0.27938667980743714,0.3243622303930859,0.29888935218528484,0.003923278116826504,1
BOURNEMOUTH,BOURNEMOUTH,103944,145100.0,168830.62514430846,130000.0,0.0791387670283999,0.5048583852843839,0.4944489340414069,0.1213153236358039,0.30899330408681597,0.0716635880858924,0.0035788501500808125,0
SURREY,SURREY HEATH,39790,215000.0,269807.7112088464,189500.0,0.08326212616235235,0.8028147775823071,0.18909273686855993,0.25722543352601157,0.3836391053028399,0.16675043980899723,0.0032922844935913548,0
CHESHIRE,CONGLETON,27899,102000.0,123950.90608982401,93050.0,0.1277465142119789,0.8890641241621563,0.05351446288397434,0.3484354277931109,0.39617907451879997,0.20187103480411484,0.0,1
DORSET,CHRISTCHURCH,26206,185000.0,215236.50358696483,160987.5,0.07177745554453178,0.7672288788826986,0.21697321224147142,0.17263222162863467,0.4177669236052812,0.19022361291307335,0.002404029611539342,0
CAERPHILLY,CAERPHILLY,54501,82500.0,95941.6617493257,74000.0,0.1144749637621328,0.9177262802517385,0.021797765178620577,0.3368195078989376,0.21344562485092017,0.4238454340287334,0.004091668042788206,1
GREATER LONDON,REDBRIDGE,97886,186000.0,219063.26911917946,164500.0,0.07109290399035613,0.6693602762397074,0.3220174488690926,0.17159757268659462,0.0399546411131316,0.46313058047116035,0.0032997568600208406,0
NORTH YORKSHIRE,SELBY,35220,126000.0,148088.27819420784,108262.5,0.14469051675184555,0.950397501419648,0.04102782509937535,0.32734241908006817,0.4079784213515048,0.220244179443498,0.0034071550255536627,1
ESSEX,CHELMSFORD,74349,170000.0,203277.93977054165,149995.0,0.08889157890489448,0.7767555716956516,0.21023820091729545,0.285558649073962,0.2685039475984882,0.23268638448398768,0.003012817926266661,0
DERBYSHIRE,BOLSOVER,29186,77000.0,94133.07390529706,72000.0,0.12951415062016036,0.9839991776879325,0.008565750702391557,0.3772013979305146,0.31426026176934146,0.29592955526622355,0.004043034331528815,1
KENT,DARTFORD,43318,160000.0,182812.98771873125,136000.0,0.16332702340828292,0.7453483540329655,0.24604090678239993,0.24384782307585762,0.1157486495221386,0.38988411283992797,0.004478507779675885,0
CHESHIRE,CHESTER,34883,110000.0,134428.70317919904,103500.0,0.10337413639881891,0.855058337872316,0.1209184989823123,0.3649055413811885,0.25740331966860647,0.2567726399678927,0.0,1
NORTHUMBERLAND,BERWICK-UPON-TWEED,6943,81800.0,107273.13841278986,90050.0,0.08252916606654184,0.8755581160881464,0.10139709059484373,0.3138412789860291,0.2752412501800374,0.30952038023908973,0.0,1
COUNTY DURHAM,COUNTY DURHAM,57023,101995.0,127794.96389176298,90000.0,0.12866737982919174,0.9183838100415622,0.038966732721884154,0.289532293986637,0.2292057590796696,0.4276695368535503,0.014625677358258949,1
CLWYD,WREXHAM MAELOR,1224,45000.0,51646.044117647056,25000.0,0.11519607843137254,0.9795751633986928,0.015522875816993464,0.4084967320261438,0.3423202614379085,0.23366013071895425,0.0,1
AVON,WANSDYKE,1327,60000.0,75100.18538055765,40500.0,0.1657874905802562,0.9208741522230596,0.06480783722682742,0.29917106254709874,0.3571966842501884,0.2788244159758855,0.0,1
CLWYD,RHUDDLAN,861,42000.0,46795.529616724736,19650.0,0.09872241579558652,0.9488966318234611,0.04529616724738676,0.40185830429732866,0.4529616724738676,0.09988385598141696,0.0,1
DYFED,SOUTH PEMBROKESHIRE,500,48000.0,51471.528,25445.0,0.116,0.862,0.1,0.214,0.424,0.262,0.0,1
GREATER MANCHESTER,TAMESIDE,78787,83000.0,95517.52616548416,74650.0,0.08566134006879307,0.645944127838349,0.056735248200845315,0.3348521964283448,0.11996903042380089,0.48442001853097594,0.004023506416033102,0
LINCOLNSHIRE,LINCOLN,43741,90000.0,103975.75414370956,78000.0,0.10198669440570632,0.9229098557417525,0.0707802747993873,0.29750120024690796,0.21060332411238883,0.4172744107359228,0.0038407901053931093,1
NORTH LINCOLNSHIRE,NORTH LINCOLNSHIRE,59091,88000.0,103202.55648068234,77000.0,0.12000135384407101,0.9709938907786295,0.019004586146790542,0.41337936403174763,0.3807347988695402,0.18315817975664653,0.0037230711952750844,1
LUTON,LUTON,77774,115000.0,125629.83560058632,95005.0,0.03514027824208604,0.8294288579731015,0.15586185614729858,0.39199475403091005,0.10522796821559904,0.3418366034921696,0.005078818114022681,0
